Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Europa Cafe,Café / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036,40.756376,-73.986713,5,3,119,1024686,1010140033,Midtown-Midtown South                                                      ,"3 Times Sq
(40.756376, -73.986713)"
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"832 Eighth Ave
(40.762444, -73.985983)"
Sosa Borella,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"832 Eighth Ave
(40.762444, -73.985983)"
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,1,10019,40.763128,-73.985481,5,3,131,1081646,1010230002,Midtown-Midtown South                                                      ,"852 Eighth Ave
(40.763128, -73.985481)"
Starbucks,Coffee,,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019,40.763644,-73.985134,4,3,133,1025257,1010437501,Clinton                                                                    ,"871-879 Eighth Ave, Suite# 871
(40.763644, -73.985134)"
China Gourmet,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"877 Eighth Ave
(40.763789, -73.985026)"
Rino Trattoria,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"877 Eighth Ave
(40.763789, -73.985026)"
Laxmi Corp. Newsstand,Café / Deli,,879 Eighth Ave,,,1,10019,40.763839,-73.98499,4,3,133,1025257,1010437501,Clinton                                                                    ,"879 Eighth Ave
(40.763839, -73.98499)"
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019,40.763885,-73.984954,4,3,133,1025323,1010437502,Clinton                                                                    ,"881 Eighth Ave
(40.763885, -73.984954)"
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"888 Eighth Ave
(40.764072, -73.984791)"
Brasserie Athena,Full Serve,French,300 W 46th St,(212) 399-1100,,1,10036,40.759963,-73.988355,4,3,121,1081654,1010360036,Clinton                                                                    ,"300 W 46th St
(40.759963, -73.988355)"
The House of Brews,Full Serve,American,302 W 51st St,,http://www.houseofbrewsny.com/,1,10019,40.763037,-73.985958,4,3,133,1025175,1010410037,Clinton                                                                    ,"302 W 51st St
(40.763037, -73.985958)"
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"888 Eighth Ave
(40.764072, -73.984791)"
World of Nuts and Ice Cream,Quick Serve,Dessert,888 Eighth Ave,(212) 245-0398,www.worldofnutsandicecream.com,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"888 Eighth Ave
(40.764072, -73.984791)"
Green Emporium,Café / Deli,,791 Eighth Ave,2124591924,,1,10019,40.761133,-73.986958,4,3,127,1025141,1010390029,Clinton                                                                    ,"791 Eighth Ave
(40.761133, -73.986958)"
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,,1,10019,40.762441,-73.982294,5,4,131,1024827,1010240029,Midtown-Midtown South                                                      ,"800 Seventh Ave
(40.762441, -73.982294)"
"810 Deli, Inc",Café / Deli,,810 Seventh Ave,2125414136,www.810deli.com,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"810 Seventh Ave
(40.762639, -73.982146)"
Deli / Café,Café / Deli,,810 Seventh Ave,(212) 541-4136,http://www.810deli.com/,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"810 Seventh Ave
(40.762639, -73.982146)"
Ichi Masa Japanese Sushi,Full Serve,Japanese,825 Eighth Ave,(212) 315-4800,http://ichimasany.com/,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"825 Eighth Ave
(40.762074, -73.986275)"
Starbucks,Coffee,,825 Eighth Ave,2124622020,www.starbucks.com,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"825 Eighth Ave
(40.762074, -73.986275)"
Starbucks,Coffee,,156 W 52nd St,(212) 581-6410,,1,10019,40.762027,-73.981622,5,4,131,1023157,1010040020,Midtown-Midtown South                                                      ,"156 W 52nd St
(40.762027, -73.981622)"
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"235 W 46th St
(40.759132, -73.986348)"
46 Bar (Paramount Hotel),Bar / Lounge,,235 W 46th St,(212) 764-5500,http://www.nycparamount.com/,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"235 W 46th St
(40.759132, -73.986348)"
Victor's Cafe,Café / Deli,,236 W 52nd St,(212) 586-7714 ,www.victorscafe.com,1,10019,40.762968,-73.983853,5,3,131,1080858,1010230051,Midtown-Midtown South                                                      ,"236 W 52nd St
(40.762968, -73.983853)"
Auntie Anne's,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,1,10036,40.757436,-73.989633,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"664 Eighth Ave
(40.757436, -73.989633)"
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,1,10036,40.756785,-73.988702,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"237 W 42nd St
(40.756785, -73.988702)"
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,1,10036,40.756821,-73.988789,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"243 W 42nd St
(40.756821, -73.988789)"
Dallas BBQ,Full Serve,Barbecue,27 West 72nd Street,2128732004,,1,10023,40.776988,-73.977766,7,6,157,1087511,1011257502,Lincoln Square                                                             ,"27 West 72nd Street
(40.776988, -73.977766)"
Starbucks,Coffee,,251 W 42nd St,2123981982,www.starbucks.com,1,10036,40.756867,-73.988901,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"251 W 42nd St
(40.756867, -73.988901)"
Pongsri Thai Restaurant,Full Serve,Thai,244 W 48th St,2125823392,,1,10036,40.76052,-73.985817,5,3,125,1024765,1010190059,Midtown-Midtown South                                                      ,"244 W 48th St
(40.76052, -73.985817)"
Smokehouse,Full Serve,Italian,249 W 48th St,,www.baldoriamo.com,1,10036,40.76057,-73.98589,5,3,125,,,Midtown-Midtown South                                                      ,"249 W 48th St
(40.76057, -73.98589)"
Lucky Star Cafe,Full Serve,American,250 W 43rd St,(201) 838-9269,,1,10036,40.757309,-73.987901,5,3,119,1085096,1010140055,Midtown-Midtown South                                                      ,"250 W 43rd St
(40.757309, -73.987901)"
Shula's Steakhouse,Full Serve,Steakhouse,250 W 43rd St,2122012776,http://www.donshula.com,1,10036,40.757309,-73.987901,5,3,119,1085096,1010140055,Midtown-Midtown South                                                      ,"250 W 43rd St
(40.757309, -73.987901)"
Scarlatto,Full Serve,Italian,250 W 47th St,212 730-4535,scarlattonyc.com,1,10036,40.759892,-73.986276,5,3,125,1024744,1010180054,Midtown-Midtown South                                                      ,"250 W 47th St
(40.759892, -73.986276)"
Toloache,Full Serve,Mexican,251 W 50th St,(212) 581-1818 ,www.toloachenyc.com,1,10019,40.761851,-73.985041,5,3,131,1024814,1010220101,Midtown-Midtown South                                                      ,"251 W 50th St
(40.761851, -73.985041)"
Bluechili,Full Serve,Pan Asian,251 W 51st St,(212) 246-3330,www.bluechilinyc.com,1,10019,40.762477,-73.984586,5,3,131,1024815,1010230005,Midtown-Midtown South                                                      ,"251 W 51st St
(40.762477, -73.984586)"
Pergola des Artistes,Full Serve,French,252 W 46th St,2123027500,pergoladesartistes.com,1,10036,40.759261,-73.986695,5,3,119,1024729,1010170057,Midtown-Midtown South                                                      ,"252 W 46th St
(40.759261, -73.986695)"
Trattoria Trecolori,Full Serve,Italian,254 W 47th St,(212) 997-4540,,1,10036,40.759919,-73.986348,5,3,125,1024746,1010180056,Midtown-Midtown South                                                      ,"254 W 47th St
(40.759919, -73.986348)"
Russian Samovar Restaurant,Full Serve,Russian,256 W 52nd St,(212) 757-0168,,1,10019,40.763111,-73.984192,5,3,131,1024821,1010230059,Midtown-Midtown South                                                      ,"256 W 52nd St
(40.763111, -73.984192)"
John's Pizzeria,Full Serve,Pizza,260 W 44th St,(212) 391-7560,www.johnpizzerianyc.com,1,10036,40.758124,-73.987897,5,3,119,1024710,1010150059,Midtown-Midtown South                                                      ,"260 W 44th St
(40.758124, -73.987897)"
Just Pies Inc,Quick Serve,Dessert,260 W 44th St,2127217001,,1,10036,40.758124,-73.987897,5,3,119,1024710,1010150059,Midtown-Midtown South                                                      ,"260 W 44th St
(40.758124, -73.987897)"
Sunrise Deli,Café / Deli,,1441 Broadway,2122216490,,1,10018,40.754707,-73.986753,5,3,113,1022569,1009930055,Midtown-Midtown South                                                      ,"1441 Broadway
(40.754707, -73.986753)"
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,millenniumbroadway.com,1,10036,40.756667,-73.984396,5,4,119,1085016,1009970010,Midtown-Midtown South                                                      ,"145 W 44th St
(40.756667, -73.984396)"
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,www.olunneys.com,1,10036,40.757336,-73.984017,5,4,119,1022634,1009980012,Midtown-Midtown South                                                      ,"145 W 45th St
(40.757336, -73.984017)"
Vacant (Juan Valdez Coffee),Coffee,,1451 Broadway,212 871-7515,,1,10036,40.755152,-73.986613,5,3,113,1086069,1009940001,Midtown-Midtown South                                                      ,"1451 Broadway
(40.755152, -73.986613)"
Abondanza,Café / Deli,,146 W 46th St,(212) 938-1333,,1,10036,40.757948,-73.983598,5,4,119,1022650,1009980054,Midtown-Midtown South                                                      ,"146 W 46th St
(40.757948, -73.983598)"
Dervish Turkish Restaurant,Full Serve,Turkish,146 W 47th St,212 997-0070,www.dervishrestaurant.com,1,10036,40.758579,-73.98315,5,4,125,1022670,1009990053,Midtown-Midtown South                                                      ,"146 W 47th St
(40.758579, -73.98315)"
"Godiva Chocolatier, Inc.",Quick Serve,Dessert,1460 Broadway,(212) 840-6758,www.godiva.com,1,10036,40.754998,-73.986284,5,4,113,1022573,1009947504,Midtown-Midtown South                                                      ,"1460 Broadway
(40.754998, -73.986284)"
Ranch 1,Quick Serve,Fast Food,141 W 41st St,,http://www.ranch1.com/,1,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,Midtown-Midtown South                                                      ,"141 W 41st St
(40.754756, -73.985956)"
Scotts Food Court,Quick Serve,American,141 W 41st St,2127681111,,1,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,Midtown-Midtown South                                                      ,"141 W 41st St
(40.754756, -73.985956)"
Tony's Di Napoli,Full Serve,Italian,147 W 43rd Str,(212) 221-0100,www.tonysnyc.com,1,10036,40.756022,-73.984808,5,4,119,1022611,1009960009,Midtown-Midtown South                                                      ,"147 W 43rd Str
(40.756022, -73.984808)"
Bombay Masala Indian Restaurant,Full Serve,Indian,148 W 49th St,(212) 302-8150,www.bombaymasalany.com,1,10019,40.759847,-73.982294,5,4,125,1022698,1010010157,Midtown-Midtown South                                                      ,"148 W 49th St
(40.759847, -73.982294)"
Vacant (former Café Groppi),Café / Deli,,148 W 49th St,(212) 221-0082,,1,10019,40.759847,-73.982294,5,4,125,1022698,1010010157,Midtown-Midtown South                                                      ,"148 W 49th St
(40.759847, -73.982294)"
Ruth's Chris Steak House,Full Serve,Steakhouse,148 W 51st St,212 245-9600,,1,10020,40.761357,-73.981969,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"148 W 51st St
(40.761357, -73.981969)"
Rosie O'Grady's Steakhouse,Full Serve,Steakhouse,149 W 46th St,212 869-0600,www.rosieogradystimessquare.com,1,10036,40.757981,-73.983627,5,4,125,1022664,1009990011,Midtown-Midtown South                                                      ,"149 W 46th St
(40.757981, -73.983627)"
Le Marais,Full Serve,French,150 W 46th St,(212) 869-0900,www.lemarais.net,1,10036,40.757984,-73.983677,5,4,119,1022651,1009980055,Midtown-Midtown South                                                      ,"150 W 46th St
(40.757984, -73.983677)"
Langan's Bar & Restaurant,Full Serve,American,150 W 47th St,(212) 869-5482,www.langans.com,1,10036,40.758612,-73.983233,5,4,125,1022671,1009990054,Midtown-Midtown South                                                      ,"150 W 47th St
(40.758612, -73.983233)"
Y & H Grocery,Café / Deli,,150 W 47th St,(212) 840-1659,,1,10036,40.758612,-73.983233,5,4,125,1022671,1009990054,Midtown-Midtown South                                                      ,"150 W 47th St
(40.758612, -73.983233)"
Bella Napoli,Full Serve,Italian,150 W 49th St,(212) 719-2819,,1,10019,40.759867,-73.982334,5,4,125,1022695,1010010058,Midtown-Midtown South                                                      ,"150 W 49th St
(40.759867, -73.982334)"
Osteria Al Doge,Full Serve,Italian,142 W 44th St,(212) 944-3643,www.osteria_doge.com,1,10036,40.756634,-73.984367,5,4,119,1022620,1009960051,Midtown-Midtown South                                                      ,"142 W 44th St
(40.756634, -73.984367)"
St. Andrews Restaurant and Bar,Bar / Lounge,,142 W 46th St,(212) 840-8413,www.standrewsnyc.com,1,10036,40.757915,-73.983519,5,4,119,1022659,1009980152,Midtown-Midtown South                                                      ,"142 W 46th St
(40.757915, -73.983519)"
Pasta Lovers Trattoria,Full Serve,Italian,142 W 49th St,212 819-1155,www.pastaloversnyc.com,1,10019,40.759798,-73.982172,5,4,125,1022694,1010010055,Midtown-Midtown South                                                      ,"142 W 49th St
(40.759798, -73.982172)"
John's Shanghai,Full Serve,Chinese,144 W 46th St,(212) 869-9183,,1,10036,40.757932,-73.983558,5,4,119,1022649,1009980053,Midtown-Midtown South                                                      ,"144 W 46th St
(40.757932, -73.983558)"
Starbucks,Coffee,,1460 Broadway,2122217515,www.starbucks.com,1,10036,40.754998,-73.986284,5,4,113,1022573,1009947504,Midtown-Midtown South                                                      ,"1460 Broadway
(40.754998, -73.986284)"
Virgils Real Barbecue,Full Serve,Barbecue,152 W 44th St,(212) 921-9494,www.virgilsbbq.com,1,10036,40.756716,-73.984558,5,4,119,1022621,1009960054,Midtown-Midtown South                                                      ,"152 W 44th St
(40.756716, -73.984558)"
Iroha,Full Serve,Japanese,152 W 49th St,212 398-9049,,1,10019,40.759883,-73.982374,5,4,125,1022696,1010010059,Midtown-Midtown South                                                      ,"152 W 49th St
(40.759883, -73.982374)"
Sapporo,Full Serve,Japanese,152 W 49th St,212 869-8972,,1,10019,40.759883,-73.982374,5,4,125,1022696,1010010059,Midtown-Midtown South                                                      ,"152 W 49th St
(40.759883, -73.982374)"
Europa Cafe,Café / Deli,,152 W 51st St,(212) 581-0152,www.euorpacafe.com,1,10019,40.761439,-73.982168,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"152 W 51st St
(40.761439, -73.982168)"
Bar Americain,Full Serve,American,152 W 52nd St,(212) 265-9700,www.baramerican.com,1,10019,40.762005,-73.981568,5,4,131,1023157,1010040020,Midtown-Midtown South                                                      ,"152 W 52nd St
(40.762005, -73.981568)"
Ruby's Diner,Full Serve,Diner,234 W 42nd St,,www.rubys.com,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Virtigo Cafe Llc,Café / Deli,,234 W 42nd St,2122219454,,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Aoki,Full Serve,Japanese,234 W 48th St,(212) 956-2355 ,aokinyc.com,1,10036,40.760454,-73.985655,5,3,125,1024764,1010190055,Midtown-Midtown South                                                      ,"234 W 48th St
(40.760454, -73.985655)"
Saigon 48,Full Serve,Vietnamese,234 W 48th St,(212) 247-8669,,1,10036,40.760454,-73.985655,5,3,125,1024764,1010190055,Midtown-Midtown South                                                      ,"234 W 48th St
(40.760454, -73.985655)"
Inakaya,Full Serve,Japanese,620 Eighth Ave,(212) 354-2130,,1,10018,40.756039,-73.990651,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      ,"620 Eighth Ave
(40.756039, -73.990651)"
Schnipper's Quality Kitchen,Full Serve,American,620 Eighth Ave,(212) 921-2400,http://www.schnippers.com/,1,10018,40.756039,-73.990651,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      ,"620 Eighth Ave
(40.756039, -73.990651)"
McDonald's,Quick Serve,Fast Food,1651 Broadway,2125865530,,1,10019,40.762164,-73.983575,5,3,131,1024817,1010230018,Midtown-Midtown South                                                      ,"1651 Broadway
(40.762164, -73.983575)"
Starbucks,Coffee,,1530 Broadway,(212) 391-2079,www.starbucks.com,1,10036,40.757674,-73.985121,5,4,119,1022624,1009970001,Midtown-Midtown South                                                      ,"1530 Broadway
(40.757674, -73.985121)"
Sardi's Restaurant,Full Serve,American,234-236 W 44th St,(212) 221-8440,www.sardis.com,1,10036,40.757921,-73.987421,5,3,119,1024707,1010150049,Midtown-Midtown South                                                      ,"234-236 W 44th St
(40.757921, -73.987421)"
Dean & Deluca,Café / Deli,,560 Broadway,(212) 869-6890,www.deandeluca.com,1,10012,40.723909,-73.998048,2,1,43,1007567,1004970018,SoHo-TriBeCa-Civic Center-Little Italy                                     ,"560 Broadway
(40.723909, -73.998048)"
Library Bar,Full Serve,American,235 W 46th St,(212) 827-4183,,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"235 W 46th St
(40.759132, -73.986348)"
La Rivista Ristorante,Full Serve,Italian,313 W 46th St,212-245-1707,www.larivistanyc.com,1,10036,40.760082,-73.98859,4,3,127,1025051,1010370025,Clinton                                                                    ,"313 W 46th St
(40.760082, -73.98859)"
Broadway Joe Steakhouse,Full Serve,Steakhouse,315 W 46th St,(212) 246-6513,broadwayjoesteakhouse.com,1,10036,40.760098,-73.988629,4,3,127,1075688,1010370024,Clinton                                                                    ,"315 W 46th St
(40.760098, -73.988629)"
Bistecca Fiorentina,Full Serve,Steakhouse,317 W 46th St,(212) 258-3232,www.bisteccafiorentinanyc.com,1,10036,40.760114,-73.988669,4,3,127,1078871,1010370023,Clinton                                                                    ,"317 W 46th St
(40.760114, -73.988669)"
Gourmet New York,Café / Deli,,680 Eighth Ave,,,1,10036,40.757998,-73.989218,5,3,119,1024703,1010150001,Midtown-Midtown South                                                      ,"680 Eighth Ave
(40.757998, -73.989218)"
Port Gourmet Deli,Café / Deli,,681 Eighth Ave,(212) 245-3168,,1,10036,40.758007,-73.98924,4,3,121,1024967,1010340029,Clinton                                                                    ,"681 Eighth Ave
(40.758007, -73.98924)"
McDonald's,Quick Serve,Fast Food,220 W 42nd St,2122217664,www.mcdonalds.com,1,10036,40.756412,-73.987858,5,3,113,1024663,1010130042,Midtown-Midtown South                                                      ,"220 W 42nd St
(40.756412, -73.987858)"
McDonald's,Quick Serve,Fast Food,688 Eighth Ave,2122213941,,1,10036,40.758218,-73.989059,5,3,119,1024704,1010150004,Midtown-Midtown South                                                      ,"688 Eighth Ave
(40.758218, -73.989059)"
Robert Emmett's Bar & Restaurant,Full Serve,American,694 Eighth Ave,(212) 302-9999,www.robertemmetts.com,1,10036,40.758383,-73.98894,5,3,119,1078853,1010150061,Midtown-Midtown South                                                      ,"694 Eighth Ave
(40.758383, -73.98894)"
"1657 Broadway Deli, Ltd.",Café / Deli,,1651-1665 Broadway,2129560099,,1,10019,40.762164,-73.983575,5,3,131,1024817,1010230018,Midtown-Midtown South                                                      ,"1651-1665 Broadway
(40.762164, -73.983575)"
Hard Rock Cafe,Full Serve,American,1501 Broadway,2123433355,www.hardrockcafe.com,1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"1501 Broadway
(40.757103, -73.986193)"
Planet Hollywood,Full Serve,American,1540 Broadway,(212) 333-7827,www.planethollywoodintl.com,1,10036,40.757847,-73.985009,5,4,119,1076844,1009987501,Midtown-Midtown South                                                      ,"1540 Broadway
(40.757847, -73.985009)"
B. Smith's Restaurant Row,Full Serve,American,320 W 46th St,(212) 315-1100,www.bsmith.com,1,10036,40.760136,-73.988759,4,3,121,1025014,1010360041,Clinton                                                                    ,"320 W 46th St
(40.760136, -73.988759)"
Orso,Full Serve,Italian,322 W 46th St,212-489-7212,www.orsorestaurant.com,1,10036,40.760153,-73.988803,4,3,121,1025032,1010360142,Clinton                                                                    ,"322 W 46th St
(40.760153, -73.988803)"
Joe Allen,Full Serve,American,326 W 46th St,(212) 581-6464,www.joeallenrestaurant.com,1,10036,40.760186,-73.988882,4,3,121,1025016,1010360044,Clinton                                                                    ,"326 W 46th St
(40.760186, -73.988882)"
O'Flaherty's Ale House & Restaurant,Full Serve,American,334 W 46th St,(212) 581-9366,www.oflahertynyc.com,1,10036,40.760254,-73.989045,4,3,121,1025018,1010360047,Clinton                                                                    ,"334 W 46th St
(40.760254, -73.989045)"
Sangria 46,Full Serve,Spanish,338 W 46th St,212-581-8482,www.sangria46.com,1,10036,40.76029,-73.989124,4,3,121,1082452,1010360149,Clinton                                                                    ,"338 W 46th St
(40.76029, -73.989124)"
Le Rivage,Full Serve,French,340 W 46th St,(212) 765-7374,www.lerivagenyc.com,1,10036,40.760307,-73.989167,4,3,121,1025020,1010360049,Clinton                                                                    ,"340 W 46th St
(40.760307, -73.989167)"
Da Rosina Ristorante Italiano,Full Serve,Italian,342 W 46th St,(212) 977-7373,www.darosina.com,1,10036,40.760323,-73.989207,4,3,121,1025021,1010360050,Clinton                                                                    ,"342 W 46th St
(40.760323, -73.989207)"
EZ Deil and NY Nail Land,Café / Deli,,1625 Broadway,(212) 333-5650,,1,10019,40.761223,-73.984207,5,3,125,1024801,1010210043,Midtown-Midtown South                                                      ,"1625 Broadway
(40.761223, -73.984207)"
Dunkin' Donuts,Coffee,,210 W 50th St,(212) 757-4617,,1,10019,40.76156,-73.984395,5,3,125,1024802,1010210045,Midtown-Midtown South                                                      ,"210 W 50th St
(40.76156, -73.984395)"
Famous Famiglia Pizzeria,Quick Serve,Pizza,1630 Broadway,(212) 333-4646,www.famousfamiglia.com,1,10019,40.761327,-73.984106,5,4,125,1024799,1010210037,Midtown-Midtown South                                                      ,"1630 Broadway
(40.761327, -73.984106)"
Italia Mia Pizza,Full Serve,Pizza,1674 Broadway,(212) 265-1414,,1,10019,40.762861,-73.983109,5,4,131,1024831,1010240131,Midtown-Midtown South                                                      ,"1674 Broadway
(40.762861, -73.983109)"
Club House Café,Full Serve,Spanish,155 W 46th St,(212) 354-3838,,1,10036,40.758031,-73.983746,5,4,125,1022662,1009990008,Midtown-Midtown South                                                      ,"155 W 46th St
(40.758031, -73.983746)"
Restaurant,Full Serve,American,155 W 46th St,2128690900,www.lemarais.net,1,10036,40.758031,-73.983746,5,4,125,1022662,1009990008,Midtown-Midtown South                                                      ,"155 W 46th St
(40.758031, -73.983746)"
TGI Friday's,Full Serve,American,1552 Broadway,2129447352,www.fridays.com,1,10036,40.758665,-73.984977,5,4,125,1022660,1009990001,Midtown-Midtown South                                                      ,"1552 Broadway
(40.758665, -73.984977)"
Meson Sevilla Ristorante,Full Serve,Spanish,344 W 46th St,(212) 262-5890,mesonsevilla.com,1,10036,40.760342,-73.989247,4,3,121,1025022,1010360051,Clinton                                                                    ,"344 W 46th St
(40.760342, -73.989247)"
Danny's Grand Sea Palace,Full Serve,Seafood,346 W 46th St,(212) 265-8130,,1,10036,40.760359,-73.989286,4,3,121,1080885,1010360052,Clinton                                                                    ,"346 W 46th St
(40.760359, -73.989286)"
Sushi of Gari,Full Serve,Japanese,347 W 46th St,(212) 957-0046,www.sushiofgari.com,1,10036,40.760373,-73.989276,4,3,127,1025048,1010370012,Clinton                                                                    ,"347 W 46th St
(40.760373, -73.989276)"
Swing 46 Jazz and Supper Club,Full Serve,American,349 W 46th St,(212) 262-9554,www.swing46.com,1,10036,40.760392,-73.989315,4,3,127,1025047,1010370010,Clinton                                                                    ,"349 W 46th St
(40.760392, -73.989315)"
Bourbon Street Bar & Grille,Full Serve,Cajun,346 W 46th St,(212) 245-2030,www.bourbonny.com,1,10036,40.760359,-73.989286,4,3,121,1080885,1010360052,Clinton                                                                    ,"346 W 46th St
(40.760359, -73.989286)"
